Node,Steady State (No perturb)
A2M,0.9725016146627982
ABCA1,1.7599797427363901
ABCB1,-0.17374473245530125
ABCG2,1.7712589508708576
ABI2,1.163706974278162
ABL1,2.6679222656918875
ACAT1,1.8200868369249286
ACE,0.5548340130397212
ACSL1,1.7860344234272654
ACTA1,0.8458867537060423
ACTA2,0.5316629641843703
ACTBL2,1.2896102531475289
ACTC1,1.581182500318702
ACTG2,0.8616315307902745
ACTR3C,1.9758792288697482
ACVR1C,1.4230264147999194
ADAMTS3,1.1019521342472474
ADH1A,0.12114165961628927
ADIPOQ,0.1160359114953013
ADIPOR1,1.9208009855847477
ADIRF,1.769270846302171
ADM,1.3467748617814106
ADORA1,1.3258144054756793
ADRA1B,1.0268748587703405
ADRB2,1.7237219416072675
AFAP1L2,1.6219826983976477
AFP,-0.642914772430189
AGER,0.8087469163721623
AGR2,2.132884821510366
AGRN,2.4119152729763575
AGTR1,0.13096681836946283
AHRR,0.8454134225403716
AKAP5,1.4351159958341717
AKR1B1,2.1792291028165582
AKR1C3,1.5442807569933363
AKT1,1.783044202738552
ALCAM,2.1274755528705
ALDOB,0.25525404885565245
ALOX5,0.4410897411707486
ANGPT1,1.662534906085714
ANGPTL4,1.529370096680913
ANK1,1.3320871845926285
ANK3,1.4791861073605272
ANXA1,2.136632117713383
AOX1,1.7951037413218887
AP1G2,1.623681725761562
AP1S3,1.6284929677332964
APBB1IP,1.58560523141136
APOA5,0.25525404885565245
APOB,-0.1160359114953013
APOBEC3G,1.4922358840081456
APOBR,0.145058899596336
APOC3,0.36137076202537566
AQP3,1.7533316603015758
AQP5,2.144616251489189
AR,1.0260349202831176
ARG1,0.06267505805057727
ARG2,1.532014522557922
ARHGAP24,1.1506682677000117
ARHGAP31,1.6329891775262002
ARHGAP32,1.7544851405944475
ARHGDIB,1.5835171006607234
ARHGEF16,0.8609408640611753
ARHGEF4,1.0142928506427347
ARHGEF5,1.1465236088703543
ARHGEF6,1.7968982670844518
ARNTL,0.952212464045033
ASAH1,1.6567662189704018
ASS1,1.0485215609557714
ATF1,2.036172984513587
ATF2,1.4091112289794068
ATF3,1.1844183929004997
ATOH8,0.5433757924782513
ATP1A3,1.3560586585349914
ATP1B1,2.5250264568204006
ATP2B4,2.182164905063252
ATP6AP1,1.8618808961220903
ATP6V0A4,1.7506807211671411
ATP6V0D2,1.894950323993595
ATP6V0E1,3.0654720935298734
ATP8B1,1.818680027450765
AXIN2,1.5225805573338835
B3GNT3,1.1806125341199083
B3GNT7,1.0117526416953055
B4GALT4,1.328382073124928
BABAM2,-0.17042780751300027
BAD,1.7831969289438867
BAK1,2.291495937636456
BAMBI,1.5417920512080285
BATF3,1.300369286917494
BAX,1.7104746716040555
BCAR1,1.8303806007691044
BCHE,0.7301096084889256
BCL11A,0.8457912836571106
BCL2,1.3369518045640458
BCL2L1,1.9769889145132078
BCL2L11,1.5148392915560278
BCL6,1.1516840213087438
BECN1,1.797530451471256
BEND3,1.2948211490934245
BEX2,1.2236611802148278
BGLAP,-0.10432751512173627
BHLHE40,2.1864961713353357
BID,1.9450082247173885
BIRC3,1.9898842535186119
BIRC5,1.9620330694226935
BMI1,0.9110126859610073
BMP1,1.1959209531325916
BMP2,0.7623286239799943
BMP5,0.7468114276085961
BMP6,0.15619095655839327
BMPR1B,0.9609124700965544
BNIP3L,1.4008514042645817
BRCA1,1.566393632679717
BRD7,1.2909125851882164
BRIP1,1.7285266842038605
BRS3,0.1160359114953013
BTG1,1.6940550744002616
BTG2,0.7254066708606534
C3AR1,0.8366670128795821
CABIN1,1.2996539613286637
CACNA2D1,1.1783262088431845
CACNB4,0.8691678199282973
CACNG4,0.5069821181414069
CACNG6,0.701570909919091
CACNG7,1.3690783539331617
CACNG8,1.0686954254932393
CALCR,0.6277569867925603
CALD1,1.9338003019864345
CAMK1D,1.0079753284134183
CAMK2D,2.4010520081243287
CAMSAP3,1.7977690431605635
CARD11,1.9914895715776515
CASK,1.7199842362419264
CASP3,1.875384623471734
CAV1,3.133496303392233
CBL,2.293280612788737
CBLB,1.389477218329999
CBX5,1.987195199745593
CCK,0.11397409850978973
CCL2,-0.7815374536398167
CCL26,0.938880248676208
CCNA1,1.1772305101461231
CCNA2,1.4325597098132135
CCND1,2.066355805287026
CCND2,1.7185186056514634
CCND3,2.327378677826133
CCNE1,1.0583912523108556
CCR1,1.1450479406056775
CCR5,0.4215359212152954
CCR6,0.401763093458198
CD14,1.0207885961303418
CD177,0.9473716995079964
CD180,0.7138528935656947
CD1D,-0.43519491508557806
CD24,0.9369231160046492
CD274,1.8355463420454317
CD33,-0.22388852429457964
CD36,-0.10573038234436077
CD38,0.29251401873320826
CD3G,-0.3996795122917016
CD40,1.5991650275774068
CD40LG,0.011233589356018897
CD44,3.645131344297845
CD59,2.575141302257608
CD74,2.714384443001414
CD82,1.6110176866221186
CD83,1.4915367015407839
CD8A,1.1844344155633537
CDC25A,1.7795526325359432
CDC25C,1.5548800489216463
CDC34,1.7591126012725264
CDC6,1.8726915788295804
CDH1,0.9071488829729912
CDH11,1.6970778611211357
CDH19,1.6326454722066308
CDH2,0.7816422041979271
CDH3,0.49733607040016886
CDH4,2.0114951098345784
CDK1,1.5832107466226863
CDK20,1.0212703118129385
CDK4,1.853189506967171
CDK5R1,1.2773152691301919
CDK6,1.6865532997577828
CDKN1A,1.7779938143833518
CDKN1B,1.755138225994523
CDKN1C,1.6022450101944723
CDKN2B,-0.2783453962074497
CDON,1.5548816941110575
CDX2,0.2330004122511448
CEACAM1,1.211747248286925
CEBPA,0.07042954677844276
CELF2,1.2938013668741104
CELSR1,1.9640749407830058
CETP,0.8781103328618819
CFLAR,1.5311841123100018
CFTR,-0.17989065117194647
CGA,0.38290442484311993
CGN,1.296646456795024
CHEK1,1.8574861693161864
CHEK2,1.3348840567795428
CHGA,-0.14217725578912396
CHML,2.9475762158797143
CHPF,1.5782310883763029
CHRDL1,1.979577427380069
CHST11,1.788993821662534
CHST2,1.2017206422507545
CHST4,0.517279953084469
CIITA,1.2272888478757136
CITED2,1.7008499704851348
CLDN1,1.0857711541822874
CLDN2,1.1462166469519925
CLDN4,1.6630630810990163
CLEC4C,0.11177869751373819
CLIC5,1.7157395319364552
CLK3,1.4320111450115354
CLU,1.8862856167377795
CNTN1,1.2594537937120527
CNTNAP2,-0.09255425783430724
COL11A2,1.0507088015343387
COL12A1,2.6023099128103215
COL17A1,1.5452889532178835
COL1A1,1.2002025430138001
COL1A2,0.6269523457369293
COL27A1,1.6259292936590781
COL3A1,1.4112925471059197
COL4A3,1.0208956362172328
COL4A4,1.4430408906173986
COL4A5,2.044727708000763
COL4A6,1.6069934326588349
COL5A1,2.342753841890346
COL6A2,1.3433479288383374
COL6A3,2.233580386927749
COL8A1,1.8433276388472626
CPT1B,0.7223595516167075
CRABP2,1.3297738208006291
CRADD,1.6807353657113253
CRB3,0.7382760324394141
CREB3L1,2.6301312356859015
CREM,1.5699895930300252
CRH,-0.17298397379168118
CRY1,1.7840197272971698
CRY2,1.415492395680456
CSF1,2.0106078018251563
CSF3,1.5874768044407763
CSPG4,1.867251224001095
CTGF,1.9711962962350464
CTNNB1,2.0816052510180456
CTSC,1.830795182089524
CTSL,1.768719499451157
CTSS,1.0099142991454222
CXADR,0.7716544890355714
CXCL1,0.9584079709847968
CXCL12,0.320754769756035
CXCL16,0.7498527519369093
CXCL8,-0.5318885949376952
CXCR4,1.2550215826856366
CYB561,1.8133732487458893
CYBB,0.6915086626282575
CYFIP2,1.3526983773538037
CYLD,1.3821771734629702
CYP11A1,0.8877847996571677
CYP17A1,-0.19862476914237143
CYP19A1,0.07553865622824635
CYP1A1,0.6618975552429905
CYP27B1,0.37125218538781024
CYP2B6,0.07958956710600161
CYP2C18,0.6207350251674765
CYP2E1,0.8851429103699503
CYP7A1,-0.22277821467837083
CYP7B1,-0.28444188094570305
DAAM1,1.6125568872900804
DAB2,1.8687929609732112
DAB2IP,2.4387974548506293
DACH1,1.2007280458463907
DAG1,3.352105865737364
DCDC2,0.3393111581408419
DCN,-0.48050333850791205
DDAH1,2.038816681018012
DDIT3,1.2630773438798275
DENND1B,1.495633246404994
DENND2A,0.8784649206347385
DES,-0.6683892447792253
DKK1,2.268173310074121
DMBT1,2.4843341476247094
DMD,1.8148091934713575
DNAJC6,2.1362327195537407
DNM1,0.045587133028076154
DOCK2,1.2958838256505085
DPF3,1.1502352936224722
DPYSL2,2.7538237531097645
DPYSL3,1.6323730007312152
DR1,1.4884593924955811
DSCAM,0.7222017814233668
DSG2,1.883374595842419
DSG4,-0.21342871456332166
DYSF,2.1816193038843625
E2F1,1.4917385239091887
EAPP,1.516972706941242
EBNA1BP2,2.059074727508254
ECM1,1.874546830348993
EDN1,1.907064684582583
EDN2,0.9938223704585526
EDNRB,1.5186126190766798
EEF1A2,1.4480683548683198
EFEMP1,1.84907522912194
EFNA1,1.3691344991537806
EGFL7,1.34852522471934
EGFR,2.1355273979580196
EGR1,1.4589008631680789
EHF,2.0003045334484493
ELANE,0.21342871456332166
ELK1,1.4782993243406466
ENAH,2.3089774302565758
