Source,Target,Signal Flow
FOXA2,ABCA1,-0.13275467599706012
JUN,ABCA1,0.12088459923849844
EGR1,ABCB1,0.041855036821627695
JUN,ABCB1,0.08547831986256041
TCF4,ABCB1,0.06307827680654307
UHRF1,ABCB1,-0.23267612138748445
PPARG,ABCG2,0.1316338891235288
RAC3,ABI2,-1.0092371481392803
EPHA5,ABL1,0.2992944383308418
EPHB2,ABL1,0.21185650893412084
GATA2,ABL1,0.0591904119170898
JUN,ABL1,0.06979275591122712
PLCG1,ABL1,0.4808293477349904
RIN1,ABL1,0.1901630348876884
PPARG,ACAT1,0.1316338891235288
EGR1,ACE,0.08371007364325539
PPARG,ACSL1,0.1316338891235288
AR,ACTA1,0.07379144864026742
HEY1,ACTA2,-0.46591154057647977
MMP15,ACTBL2,0.10146430904097804
MMP8,ACTBL2,0.04561281306262038
PTK2B,ACTBL2,0.21172197448421443
RHOJ,ACTBL2,0.5420900826795981
MMP15,ACTC1,0.09075243692226935
MMP8,ACTC1,0.04079734026120382
NFATC1,ACTC1,0.12071734082673832
NFATC4,ACTC1,0.23395997497712584
RHOJ,ACTC1,0.48486010992002504
NKX3-1,ACTG2,0.32149574844957984
CYFIP2,ACTR3C,0.26631578688520247
WASF3,ACTR3C,1.1774718592653342
INHBA,ACVR1C,0.08617691038707993
INHBB,ACVR1C,0.05992197156460464
TCF7L2,ACVR1C,0.204589144490786
GATA2,ADH1A,0.14498630686202263
PPARG,ADIPOQ,0.1316338891235288
FOXO1,ADIPOR1,0.18772599509917787
EGR1,ADIRF,0.0483300335518169
PBX3,ADIRF,0.22755975819415286
POU2F2,ADIRF,0.15261866323034137
EDN1,ADORA1,0.2183557496634464
EDN2,ADORA1,0.08281853087154604
EGR1,ADORA1,0.041855036821627695
GPSM3,ADORA1,-0.07641503974761564
EDN1,ADRB2,0.30880166259619024
EDN2,ADRB2,0.11712308957435527
EGR1,AFAP1L2,0.0483300335518169
JUN,AFAP1L2,0.09870186196505239
MEF2C,AFAP1L2,0.10675269406784457
ZHX2,AFP,-0.42114825773678805
PPARG,AGER,-0.1316338891235288
MEF2C,AGR2,0.13074481456682793
SPDEF,AGR2,0.1657635646923374
FURIN,AGRN,0.12029476789347025
GLCE,AGRN,0.15169567685685714
HS3ST5,AGRN,0.08641262678707605
LRP1,AGRN,0.1286911720674541
MYC,AGRN,0.09713998202904148
ETV4,AGTR1,0.30235865198003026
CAMK2D,AKAP5,0.3919616758885725
EGR1,AKR1B1,0.059191960726771166
SMAD3,AKR1B1,0.27081881181815814
AR,AKR1C3,-0.05217843372711192
MYC,AKR1C3,0.15359179753979782
AR,AKT1,-0.07379144864026742
PPARGC1A,ALDOB,0.3415742429984249
EGR1,ALOX5,0.08371007364325539
FN1,ANGPT1,0.47679905151151525
FOXO1,ANGPT1,0.13274232413962125
PPARG,ANGPTL4,0.09307921563320533
SMAD3,ANGPTL4,0.27081881181815814
GPSM3,ANXA1,-0.15283007949523128
STAT4,AOX1,0.6949050758853722
PPARGC1A,APOA5,0.3415742429984249
PPARG,APOB,-0.1316338891235288
PPARG,APOBR,-0.1316338891235288
JUN,APOC3,0.09870186196505239
PPARGC1A,APOC3,0.1972079811433833
SMAD3,APOC3,0.2211226339004354
ATF1,AQP3,0.30658155064069903
AQP3,AQP5,1.0299566054711373
EGR1,AR,0.02790335788108513
FOXO1,AR,-0.06257533169972596
GATA2,AR,0.04832876895400755
JUN,AR,-0.05698554657504027
NKX3-1,AR,-0.10716524948319327
PTK2B,AR,-0.14114798298947628
SMAD3,AR,0.12766521220633542
TCF4,AR,-0.042052184537695374
ZMIZ1,AR,0.3880121132967785
AR,ARG1,0.07379144864026742
AR,ARG2,0.07379144864026742
JUN,ARHGAP24,0.17095663972512082
PAK2,ARHGEF6,0.7328479137213245
PAK6,ARHGEF6,0.9756440001523277
NR1D1,ARNTL,-0.6110360832494914
MYC,ASS1,0.2172116031500447
CAMK1D,ATF1,0.17818654749746632
CAMK2D,ATF1,0.19598083794428625
MYC,ATF1,0.10860580157502235
RPS6KA5,ATF1,0.35704370206211705
NR3C1,ATF2,-0.297063585570124
EGR1,ATF3,0.0483300335518169
JDP2,ATF3,-0.20765298210554672
JUN,ATF3,0.09870186196505239
TCF7L2,ATOH8,0.35435879293509154
KL,ATP1A3,0.2921243530624056
NR3C2,ATP1A3,0.15358383496334813
PRKG1,ATP1A3,0.32627714532788477
ATP1A3,ATP1B1,0.47584510249729894
KL,ATP1B1,0.22627855088646245
NR3C1,ATP1B1,-0.13285087419492458
NR3C2,ATP1B1,0.11896552701194311
PRKG1,ATP1B1,0.2527331900205989
PRKG1,ATP2B4,0.5651285930564306
ATP6AP1,ATP6V0A4,0.4654702240305226
ATP6AP1,ATP6V0D2,0.32913715185240394
ATP6V0A4,ATP6V0D2,0.5540377362994158
ATP6AP1,ATP6V0E1,0.26873935914377767
ATP6V0A4,ATP6V0E1,0.45236991739341015
ATP6V0D2,ATP6V0E1,0.8019756695373208
