genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG-AS1,81.5559983657149,-0.358413366407004,0.202988911118682,-1.76567953604839,0.0774496278865218,0.152174995846115
A1BG,26.5422001927121,-0.456997617323457,0.34864603132571,-1.31077819984282,0.189932709795054,0.315358817325771
A1CF,7.76883296921143,-4.43276590522642,1.15017175084219,-3.85400345816234,0.000116201952523912,0.000451190165973021
A2M-AS1,1.00600139181529,2.2878776454961,2.03694401853832,1.12319122404642,0.261356288987653,
A2M,42.8088970088537,-5.6042623611085,0.68417637734969,-8.19125381501457,2.58518758864495E-16,2.78749878460651E-15
A3GALT2,0.985765151094444,1.22300370979598,1.86600742110426,0.655412028893343,0.512202508865112,
A4GALT,221.254740376513,-0.161832199438237,0.129930035393449,-1.2455334053299,0.21293574415555,0.345217389911864
A4GNT,0.161761022044109,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
AAAS,784.325703082529,0.317952221322131,0.068596473209407,4.6351103263211,3.56747159601054E-06,1.7446108724738E-05
AACSP1,0.183270046999496,1.08086475163971,4.38674749061526,0.246393199962396,0.805377869658991,
AACS,928.246861894318,-0.126861738128042,0.065469354319998,-1.93772703955461,0.0526565332215358,0.110100629961555
AADACP1,10.8880541269482,-2.14079026009607,0.627999477937435,-3.40890452190685,0.000652243033677427,0.00222441182721861
AADAC,0.901623668299245,-3.25578612769052,2.51683186814888,-1.29360493598849,0.195801916635172,
AADAT,319.23948672153,0.240779831595034,0.107636967978259,2.23696222698941,0.0252888089110966,0.0589667150517724
AAED1,437.038192478747,-0.0841412075123121,0.0880542103174877,-0.955561434358823,0.33929385350149,0.489654908503406
AAGAB,1343.20023115887,-0.459779314064948,0.0545065439766084,-8.43530483720016,3.30340639744598E-17,3.75835346968247E-16
AAK1,3001.97328864002,-0.301912932176788,0.0449949672856181,-6.7099266960305,1.94722208786706E-11,1.55626897549417E-10
AAMDC,280.304727663679,-0.184842163240044,0.110259093396973,-1.67643463722801,0.0936530891132247,0.178437586719276
AAMP,2560.62405287265,0.00507150696618862,0.0441341153571517,0.114911263659595,0.908515457129679,0.947171931897762
AANAT,0.996255338765294,-0.933637871286589,1.79650429352143,-0.519696988564671,0.603274786163084,
AAR2,1898.03875004636,0.00972825339712878,0.0477601480759552,0.203689766238947,0.838595939904086,0.902955884903765
AARD,130.298509482689,-1.29182416782203,0.171395182872017,-7.53710895589556,4.80504847484832E-14,4.56125859210602E-13
AARS2,554.902076893788,0.16003446827729,0.0839218375893236,1.90694666459078,0.0565274944928398,0.116744517123293
AARSD1,0.339063635334861,1.95049648638186,3.33050446855583,0.585645959882958,0.558113456282543,
AARS,4955.39972953271,-0.177893734927985,0.0354478818336175,-5.01845881124769,5.20876578837746E-07,2.82393948996372E-06
AASDHPPT,2466.99225596572,0.215957577136161,0.041855223366087,5.15963265199391,2.47434855977404E-07,1.39068635181198E-06
AASDH,487.988634744869,0.031812376677053,0.0836476931011835,0.38031385562028,0.70371245158594,0.810762677839855
AASS,2732.2149704039,-1.41193898661498,0.0418631132102671,-33.7275199654453,2.28394454297256E-249,6.54434702100267E-247
AATF,3877.96741785133,-0.0178179506684157,0.0371097703845755,-0.480141765464052,0.631126591994669,0.755428309579447
AATK,1.26070327376715,-3.72194970362158,2.36505530772769,-1.57372628515719,0.11555074232227,
ABAT,18.2743793134253,-0.117868172667597,0.429019265984174,-0.274738646986416,0.783517037247057,0.867232907404924
ABCA10,14.8454181291257,-0.344373371542574,0.480555181176686,-0.716615666694807,0.473611274933055,0.622140016728004
ABCA11P,181.022575067393,0.251767305705207,0.135850310641512,1.85327000369975,0.0638436683264554,0.129300141363252
ABCA12,1.05987532596928,-0.353458365339455,1.82943656015527,-0.193206134083958,0.846797534943288,
ABCA13,28.3226111386425,-0.350792886378074,0.330993792029579,-1.05981711689241,0.289227808098892,0.436096460213813
ABCA17P,1.37850891952303,1.66141817837525,1.68452985438521,0.986280043687092,0.323995709860825,
ABCA1,2384.75345174281,-1.68971471765099,0.050057315425124,-33.7556000217086,8.84801771162227E-250,2.58312034060248E-247
ABCA2,861.972537189688,-0.0542380512670735,0.0693540167289794,-0.782046286937125,0.43418737164951,0.585513439213254
ABCA3,868.656128624111,-0.452671770895567,0.0650426657259448,-6.95961283018266,3.41209150579158E-12,2.88026687774758E-11
ABCA4,129.220014996546,-4.85479155199856,0.317993773426096,-15.2669390337193,1.26995923398917E-52,3.96170952167628E-51
ABCA5,504.527018981312,-1.36141050152909,0.0859240335256762,-15.8443504764271,1.53801924020109E-56,5.27666778351029E-55
ABCA6,2.09233856825333,-1.00198253061251,1.24608666185965,-0.804103407316116,0.421337256931591,0.57323443402141
ABCA7,378.758082716571,-0.936725219851042,0.107419800895138,-8.72022859887317,2.77640674207676E-18,3.31732366950994E-17
ABCA8,0.179539802733951,-0.842709795957238,4.41748824019489,-0.190766732164534,0.848708353869919,
ABCA9,3.06405396431613,-0.596515301932608,1.07695641342262,-0.553889920239996,0.57965418386087,0.71523039767777
ABCB10,805.005235261541,0.208092914992832,0.0667133524944942,3.11920938181013,0.00181337049140906,0.00569595647859773
ABCB1,0.855381508884766,0.802240100242471,1.97131750879865,0.406956310519134,0.684040076780856,
ABCB4,0.183270046999496,1.08086475163971,4.38674749061526,0.246393199962396,0.805377869658991,
ABCB5,0.804903579746575,-3.06884257184187,2.57252072730037,-1.19293210712527,0.232895963595066,
ABCB6,471.108420274568,-0.417026657498213,0.0871185994116175,-4.78688431993549,1.69390402580912E-06,8.63299637396063E-06
ABCB7,743.923947521559,-0.0330559357716471,0.069483301932785,-0.475739276231056,0.634260135796795,0.758181943849182
ABCB8,715.354686320966,-0.151092306565591,0.0704215305212879,-2.14554136280689,0.031909587993221,0.0721310525959252
ABCB9,442.727542816569,-0.404668092074361,0.0863402007038391,-4.68690237890966,2.77371187679186E-06,1.37248621265112E-05
ABCC10,1216.80397825326,-0.0738970433106705,0.0587894445352492,-1.25697808330819,0.208761571876945,0.339838800805047
ABCC11,1.53653908799792,-0.293426514969505,1.46130179867012,-0.200798024909394,0.840856507371142,
ABCC12,0.183270046999496,1.08086475163971,4.38674749061526,0.246393199962396,0.805377869658991,
ABCC13,0.582003154684998,-2.6338170493704,2.86122701586467,-0.920520124676111,0.357301021355847,
ABCC1,1963.43991754544,0.278059328652811,0.0454231548393683,6.12153272127669,9.26794809676133E-10,6.48295483278427E-09
ABCC2,70.5584748675502,-0.0857588244306804,0.217730986993791,-0.39387514664197,0.693673220338034,0.803054421932557
ABCC3,714.633969552448,-2.04906934477155,0.078482595546786,-26.1085828073823,2.91304439652263E-150,3.4940725540616E-148
ABCC4,1973.77236443928,-0.519931288151517,0.0478816712003472,-10.8586704498265,1.81370557995164E-27,3.08389741083426E-26
ABCC5,1340.32153386255,-0.0820519587237855,0.0543151914538753,-1.5106631593753,0.130874293226151,0.234567119088178
ABCC6P1,3.2599296959043,0.142307518806868,0.981379161376633,0.145007683480099,0.88470480537302,0.933030936196602
ABCC6P2,12.1786646379759,-1.40896439953025,0.538992143742049,-2.6140722381374,0.00894701174732478,0.0238201678442198
ABCC6,30.2559479201112,-0.209743578185448,0.338647721360927,-0.619356236452883,0.535681704771423,0.679505084270227
ABCC8,0.161761022044109,-0.842709793220137,4.42654390980429,-0.190376467598939,0.849014136581349,
ABCC9,5.65625613011178,0.729142021880282,0.761565807921174,0.957424840107517,0.338352865664085,0.488735426663591
ABCD1,540.313909678026,-0.378108308388826,0.0819449641827619,-4.61417381970576,3.94662039432975E-06,1.91685575449498E-05
ABCD2,0.773526199912144,-1.74759786338785,2.16562090512818,-0.806973122234617,0.419681968500624,
ABCD3,3109.77155048873,-0.475483831199648,0.0412727410273039,-11.5205295157182,1.03970088164656E-30,1.98119356425089E-29
ABCD4,1570.59711211133,0.115901335074039,0.0505704770025703,2.29187743410346,0.0219127167524104,0.0521864654933118
ABCE1,6112.98740564153,0.14308870583621,0.0358024673526635,3.99661577585561,6.4254463656833E-05,0.000259924004225406
ABCF1,6671.81945406721,-0.0424899245115588,0.0313766552483814,-1.35418909935439,0.175676055818521,0.29668583406243
ABCF2,3137.49516334511,0.0412035902829815,0.0397007306449758,1.03785470981492,0.299337701549401,0.447038259486018
ABCF3,2050.76655430576,-0.142601478182937,0.0466912310091031,-3.05413832749741,0.00225707982749691,0.00693069977591977
ABCG1,25.712277032186,-4.34926707308141,0.61826023932569,-7.03468668440489,1.99709250646623E-12,1.72246445666399E-11
ABCG2,1073.83092389486,-3.29192672013334,0.0827237831804222,-39.7941993652972,0,0
ABCG4,26.6921661762245,-0.119100829222727,0.340118276863894,-0.350174740154845,0.726207562546871,0.827316272661444
ABHD10,1126.10909446857,-0.051230810574726,0.057999953398698,-0.883290547193372,0.377079309803564,0.529787356813815
ABHD11,226.256189408087,0.0104830308352351,0.119308461126568,0.0878649404765531,0.929984022242393,0.958989855125395
ABHD12B,0.319620513614247,-1.73674176912115,3.38405443430447,-0.51321330753892,0.607802118199664,
ABHD12,1224.56286335973,-0.183273125310853,0.0588466272034161,-3.11442021438764,0.00184306795354757,0.005778680941285
ABHD13,574.798966647745,-0.161530365538188,0.0766002409110579,-2.10874487621709,0.034966609008555,0.0778136547086685
ABHD14A,193.936199524221,-0.0993947431302178,0.130743886236942,-0.760224787490934,0.447120230796674,0.597562537280567
ABHD14B,646.593576132502,0.308254312607909,0.074357796021624,4.14555472459493,3.38992023794002E-05,0.000143547443463727
ABHD15,512.925005859613,0.0258211382034787,0.0807507117728616,0.319763598816432,0.749147543860185,0.844619640494655
ABHD16A,1527.97403009561,-0.0382667776436966,0.0510415896928576,-0.749717590575973,0.453424810863213,0.60335759360909
ABHD17A,252.773078222609,0.00531565951655338,0.14451777436913,0.0367820466358416,0.970658789070398,0.983627182086991
ABHD17B,621.744234402333,0.0460117120959167,0.0771942759884993,0.596050827690537,0.551141272035144,0.69309240102404
