source	target	interaction	Annotation	Regulation
A2M	BMP1	-|	inhibit	Inhibition
A2M	MMP3	->	complex; input (Complex interaction)	Activation
JUN	ABCA1	->	expression regulated by (Swapped)	Activation
ABI2	CYFIP2	->	complex (Complex interaction)	Activation
RAC3	ABI2	-|	PPrel: inhibited by (Target inhibits Source)	Inhibition
ABL1	CBL	->	PPrel: activation, phosphorylation	Activation
ABL1	CDON	->	complex; input (Complex interaction)	Activation
ABL1	CYFIP2	->	activate; catalyze	Activation
ABL1	ENAH	->	PPrel: activation; PPrel: activation, phosphorylation	Activation
EPHA5	ABL1	->	PPrel: activated by (Swapped)	Activation
EPHB2	ABL1	->	PPrel: activated by (Swapped)	Activation
GATA2	ABL1	->	expression regulated by (Swapped)	Activation
JUN	ABL1	->	expression regulated by (Swapped)	Activation
ABL1	NTRK2	->	PPrel: binding/association; interaction (Binding/Association)	Activation
ABL1	PDGFB	->	activate	Activation
ABL1	PLCG1	->	activate; activated by (Bidirectional Activation)	Activation
PLCG1	ABL1	->	activate; activated by (Bidirectional Activation)	Activation
ABL1	RAC3	->	PPrel: activation	Activation
RIN1	ABL1	->	PPrel: activated by (Swapped)	Activation
ABL1	ROBO1	->	PPrel: activation, phosphorylation; complex; input	Activation
ABL1	SHC3	->	PPrel: activation, phosphorylation	Activation
ABL1	SPAG9	->	complex; input (Complex interaction)	Activation
PPARG	ACSL1	->	GErel: expression by (Swapped)	Activation
ACTBL2	CDH1	->	complex; input (Complex interaction)	Activation
ACTBL2	CDH11	->	complex; input (Complex interaction)	Activation
ACTBL2	CDH19	->	complex; input (Complex interaction)	Activation
ACTBL2	CDH4	->	complex; input (Complex interaction)	Activation
ACTBL2	CELSR1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL12A1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL17A1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL27A1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL3A1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL4A3	->	complex; input (Complex interaction)	Activation
ACTBL2	COL4A4	->	complex; input (Complex interaction)	Activation
ACTBL2	COL4A5	->	complex; input (Complex interaction)	Activation
ACTBL2	COL4A6	->	complex; input (Complex interaction)	Activation
ACTBL2	COL5A1	->	complex; input (Complex interaction)	Activation
ACTBL2	COL6A2	->	complex; input (Complex interaction)	Activation
ACTBL2	COL6A3	->	complex; input (Complex interaction)	Activation
ACTBL2	COL8A1	->	complex; input (Complex interaction)	Activation
ACTBL2	DMBT1	->	complex; input (Complex interaction)	Activation
ACTBL2	FLNB	->	complex; input (Complex interaction)	Activation
ACTBL2	FN1	->	complex; input (Complex interaction)	Activation
ACTBL2	HIP1	->	complex; input (Complex interaction)	Activation
ACTBL2	ITGA2	->	complex; input (Complex interaction)	Activation
ACTBL2	ITGA6	->	complex; input (Complex interaction)	Activation
ACTBL2	ITGB8	->	complex; input (Complex interaction)	Activation
ACTBL2	ITGBL1	->	complex; input (Complex interaction)	Activation
ACTBL2	JUP	->	complex (Complex interaction)	Activation
ACTBL2	LAMA1	->	complex; input (Complex interaction)	Activation
ACTBL2	LAMA3	->	complex; input (Complex interaction)	Activation
ACTBL2	LAMA5	->	complex; input (Complex interaction)	Activation
ACTBL2	LAMB2	->	complex; input (Complex interaction)	Activation
ACTBL2	LAMC2	->	complex; input (Complex interaction)	Activation
MMP15	ACTBL2	->	catalyzed by (Swapped)	Activation
MMP8	ACTBL2	->	catalyzed by (Swapped)	Activation
ACTBL2	PCDH1	->	complex; input (Complex interaction)	Activation
ACTBL2	PCDH7	->	complex; input (Complex interaction)	Activation
ACTBL2	PCDH9	->	complex; input (Complex interaction)	Activation
PTK2B	ACTBL2	->	catalyzed by; complex; input (Swapped)	Activation
RHOJ	ACTBL2	->	catalyzed by (Swapped)	Activation
ACTC1	CDH1	->	complex; input (Complex interaction)	Activation
ACTC1	CDH11	->	complex; input (Complex interaction)	Activation
ACTC1	CDH19	->	complex; input (Complex interaction)	Activation
ACTC1	CDH4	->	complex; input (Complex interaction)	Activation
ACTC1	CELSR1	->	complex; input (Complex interaction)	Activation
ACTC1	HIP1	->	complex; input (Complex interaction)	Activation
ACTC1	JUP	->	complex (Complex interaction)	Activation
MMP15	ACTC1	->	catalyzed by (Swapped)	Activation
MMP8	ACTC1	->	catalyzed by (Swapped)	Activation
NFATC1	ACTC1	->	catalyzed by (Swapped)	Activation
NFATC4	ACTC1	->	catalyzed by (Swapped)	Activation
ACTC1	PCDH1	->	complex; input (Complex interaction)	Activation
ACTC1	PCDH7	->	complex; input (Complex interaction)	Activation
ACTC1	PCDH9	->	complex; input (Complex interaction)	Activation
RHOJ	ACTC1	->	catalyzed by (Swapped)	Activation
CYFIP2	ACTR3C	->	PPrel: activated by (Swapped)	Activation
WASF3	ACTR3C	->	PPrel: activated by (Swapped)	Activation
INHBA	ACVR1C	->	PPrel: activated by; complex; input (Swapped)	Activation
INHBB	ACVR1C	->	PPrel; PPrel: activated by; complex; input (Swapped)	Activation
ACVR1C	SMAD3	->	PPrel: activation; PPrel: activation, phosphorylation; catalyze	Activation
TCF7L2	ACVR1C	->	expression regulated by (Swapped)	Activation
ADAMTS3	COL27A1	->	catalyze	Activation
ADAMTS3	COL3A1	->	catalyze	Activation
ADAMTS3	COL5A1	->	catalyze	Activation
POFUT2	ADAMTS7	->	catalyzed by (Swapped)	Activation
POFUT2	ADAMTSL4	->	catalyzed by (Swapped)	Activation
EGR1	ADIRF	->	expression regulated by (Swapped)	Activation
PBX3	ADIRF	->	expression regulated by (Swapped)	Activation
POU2F2	ADIRF	->	expression regulated by (Swapped)	Activation
ADM	CALCR	->	PPrel: activation	Activation
ADM	RAMP1	->	PPrel: activation	Activation
EDN1	ADORA1	->	PPrel: activated by (Swapped)	Activation
EDN2	ADORA1	->	PPrel: activated by (Swapped)	Activation
EGR1	ADORA1	->	expression regulated by (Swapped)	Activation
GPSM3	ADORA1	-|	inhibited by (Target inhibits Source)	Inhibition
ADRA1B	EDN1	->	complex; input (Complex interaction)	Activation
ADRA1B	GNA15	->	PPrel: activation; complex; input	Activation
ADRA1B	TGM2	->	activate	Activation
ADRB2	DNAJC6	->	complex; input (Complex interaction)	Activation
EDN1	ADRB2	->	PPrel: activated by; complex; reaction (Swapped)	Activation
EDN2	ADRB2	->	PPrel: activated by (Swapped)	Activation
ADRB2	HIP1	->	complex; input (Complex interaction)	Activation
ADRB2	HIP1R	->	complex; input (Complex interaction)	Activation
ADRB2	ITSN1	->	complex; input (Complex interaction)	Activation
ADRB2	SLC9A3R1	->	complex; reaction (Input/Compound interaction)	Activation
ADRB2	SYNJ1	->	complex; input (Complex interaction)	Activation
ADRB2	SYNJ2	->	complex; input (Complex interaction)	Activation
ADRB2	USP33	->	complex (Complex interaction)	Activation
EGR1	AFAP1L2	->	expression regulated by (Swapped)	Activation
JUN	AFAP1L2	->	expression regulated by (Swapped)	Activation
MEF2C	AFAP1L2	->	expression regulated by (Swapped)	Activation
MEF2C	AGR2	->	expression regulated by (Swapped)	Activation
AGRN	DAG1	->	PPrel: activation; complex; input	Activation
FURIN	AGRN	->	catalyzed by (Swapped)	Activation
GLCE	AGRN	->	catalyzed by (Swapped)	Activation
HS3ST5	AGRN	->	catalyzed by (Swapped)	Activation
AGRN	LAMA1	->	complex; input (Complex interaction)	Activation
AGRN	LAMA3	->	complex; input (Complex interaction)	Activation
AGRN	LAMA5	->	complex; input (Complex interaction)	Activation
AGRN	LAMB2	->	complex; input (Complex interaction)	Activation
LRP1	AGRN	->	catalyzed by (Swapped)	Activation
AGRN	LRP4	->	complex; input (Complex interaction)	Activation
AGRN	MUSK	->	complex; input (Complex interaction)	Activation
MYC	AGRN	->	expression regulated by (Swapped)	Activation
AGRN	PTPRS	->	complex; input (Complex interaction)	Activation
AHCYL2	SLC4A4	->	activate	Activation
AHRR	CYP1A1	-|	inhibit	Inhibition
AKAP5	CACNG4	->	input (Input/Compound interaction)	Activation
AKAP5	CACNG8	->	input (Input/Compound interaction)	Activation
CAMK2D	AKAP5	->	catalyzed by (Swapped)	Activation
AKAP5	EPB41L1	->	input (Input/Compound interaction)	Activation
AKAP5	ROBO3	->	complex; input (Complex interaction)	Activation
EGR1	AKR1B1	->	expression regulated by (Swapped)	Activation
SMAD3	AKR1B1	->	expression regulated by (Swapped)	Activation
MYC	AKR1C3	->	expression regulated by (Swapped)	Activation
ALCAM	L1CAM	->	complex; input (Complex interaction)	Activation
ALDH3A2	CYB5A	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation
CYB5A	ALDH3A2	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation
ANGPT1	ERBB3	->	PPrel: activation	Activation
ANGPT1	ERBB4	->	PPrel: activation	Activation
ANGPT1	FGFR2	->	PPrel: activation	Activation
ANGPT1	FLT1	->	PPrel: activation	Activation
FN1	ANGPT1	->	activated by (Swapped)	Activation
FOXO1	ANGPT1	->	activated by; inhibite (Target activates Source)	Activation
ANGPT1	FOXO1	-|	activated by; inhibite (Source inhibits Target)	Inhibition
ANGPT1	GRB14	->	catalyze; complex; input	Activation
