Gene1	Gene2	interaction	Annotation	Regulation	TRRUST_Annotation	TRRUST_Direction	TRRUST_Score
A2M	BMP1	-|	inhibit	Inhibition			
A2M	MMP3	->	complex; input (Complex interaction)	Activation			
ABI2	CYFIP2	->	complex (Complex interaction)	Activation			
ABL1	BAX	->			Activation	->	1.0
ABL1	BCL2	-|			Repression	-|	1.0
ABL1	BCL6	-|			Repression	-|	1.0
ABL1	CBL	->	PPrel: activation, phosphorylation	Activation			
ABL1	CCND2	->			Activation	->	1.0
ABL1	CDKN1A	->			Activation	->	1.0
ABL1	CDON	->	complex; input (Complex interaction)	Activation			
ABL1	CSF1	->			Activation	->	1.0
ABL1	CYFIP2	->	activate; catalyze	Activation			
ABL1	ENAH	->	PPrel: activation; PPrel: activation, phosphorylation	Activation			
ABL1	FOXO3	->			Activation	->	1.0
ABL1	JUN	->			Activation	->	1.0
ABL1	NTRK2	->	PPrel: binding/association; interaction (Binding/Association)	Activation			
ABL1	PDGFB	->	activate	Activation			
ABL1	PIM1	->			Activation	->	1.0
ABL1	PLCG1	->	activate; activated by (Bidirectional Activation)	Activation			
ABL1	RAC3	->	PPrel: activation	Activation			
ABL1	ROBO1	->	PPrel: activation, phosphorylation; complex; input	Activation			
ABL1	SHC3	->	PPrel: activation, phosphorylation	Activation			
ABL1	SPAG9	->	complex; input (Complex interaction)	Activation			
ABL1	TP53	->			Activation	->	1.0
ACTBL2	CDH1	->	complex; input (Complex interaction)	Activation			
ACTBL2	CDH11	->	complex; input (Complex interaction)	Activation			
ACTBL2	CDH19	->	complex; input (Complex interaction)	Activation			
ACTBL2	CDH4	->	complex; input (Complex interaction)	Activation			
ACTBL2	CELSR1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL12A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL17A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL27A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL3A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL4A3	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL4A4	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL4A5	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL4A6	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL5A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL6A2	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL6A3	->	complex; input (Complex interaction)	Activation			
ACTBL2	COL8A1	->	complex; input (Complex interaction)	Activation			
ACTBL2	DMBT1	->	complex; input (Complex interaction)	Activation			
ACTBL2	FLNB	->	complex; input (Complex interaction)	Activation			
ACTBL2	FN1	->	complex; input (Complex interaction)	Activation			
ACTBL2	HIP1	->	complex; input (Complex interaction)	Activation			
ACTBL2	ITGA2	->	complex; input (Complex interaction)	Activation			
ACTBL2	ITGA6	->	complex; input (Complex interaction)	Activation			
ACTBL2	ITGB8	->	complex; input (Complex interaction)	Activation			
ACTBL2	ITGBL1	->	complex; input (Complex interaction)	Activation			
ACTBL2	JUP	->	complex (Complex interaction)	Activation			
ACTBL2	LAMA1	->	complex; input (Complex interaction)	Activation			
ACTBL2	LAMA3	->	complex; input (Complex interaction)	Activation			
ACTBL2	LAMA5	->	complex; input (Complex interaction)	Activation			
ACTBL2	LAMB2	->	complex; input (Complex interaction)	Activation			
ACTBL2	LAMC2	->	complex; input (Complex interaction)	Activation			
ACTBL2	PCDH1	->	complex; input (Complex interaction)	Activation			
ACTBL2	PCDH7	->	complex; input (Complex interaction)	Activation			
ACTBL2	PCDH9	->	complex; input (Complex interaction)	Activation			
ACTC1	CDH1	->	complex; input (Complex interaction)	Activation			
ACTC1	CDH11	->	complex; input (Complex interaction)	Activation			
ACTC1	CDH19	->	complex; input (Complex interaction)	Activation			
ACTC1	CDH4	->	complex; input (Complex interaction)	Activation			
ACTC1	CELSR1	->	complex; input (Complex interaction)	Activation			
ACTC1	HIP1	->	complex; input (Complex interaction)	Activation			
ACTC1	JUP	->	complex (Complex interaction)	Activation			
ACTC1	PCDH1	->	complex; input (Complex interaction)	Activation			
ACTC1	PCDH7	->	complex; input (Complex interaction)	Activation			
ACTC1	PCDH9	->	complex; input (Complex interaction)	Activation			
ACVR1C	SMAD3	->	PPrel: activation; PPrel: activation, phosphorylation; catalyze	Activation			
ADAMTS3	COL27A1	->	catalyze	Activation			
ADAMTS3	COL3A1	->	catalyze	Activation			
ADAMTS3	COL5A1	->	catalyze	Activation			
ADM	CALCR	->	PPrel: activation	Activation			
ADM	RAMP1	->	PPrel: activation	Activation			
ADRA1B	EDN1	->	complex; input (Complex interaction)	Activation			
ADRA1B	GNA15	->	PPrel: activation; complex; input	Activation			
ADRA1B	TGM2	->	activate	Activation			
ADRB2	DNAJC6	->	complex; input (Complex interaction)	Activation			
ADRB2	HIP1	->	complex; input (Complex interaction)	Activation			
ADRB2	HIP1R	->	complex; input (Complex interaction)	Activation			
ADRB2	ITSN1	->	complex; input (Complex interaction)	Activation			
ADRB2	SLC9A3R1	->	complex; reaction (Input/Compound interaction)	Activation			
ADRB2	SYNJ1	->	complex; input (Complex interaction)	Activation			
ADRB2	SYNJ2	->	complex; input (Complex interaction)	Activation			
ADRB2	USP33	->	complex (Complex interaction)	Activation			
AGRN	DAG1	->	PPrel: activation; complex; input	Activation			
AGRN	LAMA1	->	complex; input (Complex interaction)	Activation			
AGRN	LAMA3	->	complex; input (Complex interaction)	Activation			
AGRN	LAMA5	->	complex; input (Complex interaction)	Activation			
AGRN	LAMB2	->	complex; input (Complex interaction)	Activation			
AGRN	LRP4	->	complex; input (Complex interaction)	Activation			
AGRN	MUSK	->	complex; input (Complex interaction)	Activation			
AGRN	PTPRS	->	complex; input (Complex interaction)	Activation			
AHCYL2	SLC4A4	->	activate	Activation			
AHRR	CYP1A1	-|	inhibit	Inhibition			
AKAP5	CACNG4	->	input (Input/Compound interaction)	Activation			
AKAP5	CACNG8	->	input (Input/Compound interaction)	Activation			
AKAP5	EPB41L1	->	input (Input/Compound interaction)	Activation			
AKAP5	ROBO3	->	complex; input (Complex interaction)	Activation			
ALCAM	L1CAM	->	complex; input (Complex interaction)	Activation			
ALDH3A2	CYB5A	->	catalyze; catalyzed by; input (Bidirectional Activation)	Activation			
ANGPT1	ERBB3	->	PPrel: activation	Activation			
ANGPT1	ERBB4	->	PPrel: activation	Activation			
ANGPT1	FGFR2	->	PPrel: activation	Activation			
ANGPT1	FLT1	->	PPrel: activation	Activation			
ANGPT1	FOXO1	-|	activated by; inhibite (Source inhibits Target)	Inhibition			
ANGPT1	GRB14	->	catalyze; complex; input	Activation			
ANGPT1	GRB7	->	catalyze; complex; input	Activation			
ANGPT1	KDR	->	PPrel: activation	Activation			
ANGPT1	NGFR	->	PPrel: activation	Activation			
ANGPT1	NTRK2	->	PPrel: activation	Activation			
ANGPT1	PTPRB	->	activate	Activation			
ANK1	CD44	->	PPrel: binding/association (Binding/Association)	Activation			
ANK1	CD59	->	complex; input (Complex interaction)	Activation			
ANK1	FOLR1	->	complex; input (Complex interaction)	Activation			
ANK1	L1CAM	->	complex; input (Complex interaction)	Activation			
ANK1	NRCAM	->	complex; input (Complex interaction)	Activation			
ANK1	SCN5A	->	complex; input (Complex interaction)	Activation			
ANK1	SPTB	->	complex; input (Complex interaction)	Activation			
ANK1	SPTBN5	->	complex; input (Complex interaction)	Activation			
ANK3	CD44	->	PPrel: binding/association (Binding/Association)	Activation			
ANK3	CD59	->	complex; input (Complex interaction)	Activation			
ANK3	FOLR1	->	complex; input (Complex interaction)	Activation			
ANK3	SPTB	->	complex; input (Complex interaction)	Activation			
ANK3	SPTBN5	->	complex; input (Complex interaction)	Activation			
ANXA1	DYSF	->	complex; input (Complex interaction)	Activation			
ANXA1	GNA15	->	complex; input (Complex interaction)	Activation			
AP1G2	HLA-A	->	PPrel: binding/association (Binding/Association)	Activation			
AP1G2	HLA-B	->	PPrel: binding/association (Binding/Association)	Activation			
AP1G2	HLA-F	->	PPrel: binding/association (Binding/Association)	Activation			
AP1G2	HLA-G	->	PPrel: binding/association (Binding/Association)	Activation			
AP1S3	CD74	->	complex; input (Complex interaction)	Activation			
AP1S3	DNAJC6	->	input (Input/Compound interaction)	Activation			
AP1S3	HLA-A	->	PPrel: binding/association; complex; reaction (Binding/Association)	Activation			
AP1S3	HLA-B	->	PPrel: binding/association (Binding/Association)	Activation			
AP1S3	HLA-DPA1	->	complex; input (Complex interaction)	Activation			
AP1S3	HLA-DPB1	->	complex; input (Complex interaction)	Activation			
AP1S3	HLA-DRA	->	complex; input (Complex interaction)	Activation			
AP1S3	HLA-DRB1	->	complex; input (Complex interaction)	Activation			
AP1S3	HLA-DRB5	->	complex; input (Complex interaction)	Activation			
AP1S3	HLA-F	->	PPrel: binding/association (Binding/Association)	Activation			
AP1S3	HLA-G	->	PPrel: binding/association (Binding/Association)	Activation			
APBB1IP	ENAH	->	PPrel: activation	Activation			
APBB1IP	FN1	->	complex; input (Complex interaction)	Activation			
APBB1IP	ITGB3	->	complex; input (Complex interaction)	Activation			
APBB1IP	PFN2	->	PPrel: activation	Activation			
