Gene1	Gene2	Annotation	Direction	Score
A1CF	CELF2	predicted	-	0.9
A1CF	RBM47	predicted	-	0.89
A2M	BMP1	inhibit	-|	1.0
A2M	MMP3	complex; input	-	1.0
ABCA1	JUN	expression regulated by	<-	1.0
ABCC3	ABCC4	predicted	-	0.92
ABI2	ABL1	predicted	-	0.92
ABI2	CYFIP2	complex	-	1.0
ABI2	RAC3	PPrel: inhibited by	|-	1.0
ABI2	SH3KBP1	predicted	-	0.95
ABI2	WASF3	predicted	-	0.94
ABL1	CBL	PPrel: activation, phosphorylation	->	1.0
ABL1	CDON	complex; input	-	1.0
ABL1	CYFIP2	activate; catalyze	->	1.0
ABL1	ENAH	PPrel: activation; PPrel: activation, phosphorylation	->	1.0
ABL1	EPHA5	PPrel: activated by	<-	1.0
ABL1	EPHB2	PPrel: activated by	<-	1.0
ABL1	ERBB3	predicted	-	0.93
ABL1	ERBB4	predicted	-	0.91
ABL1	GATA2	expression regulated by	<-	1.0
ABL1	JAK1	predicted	-	0.94
ABL1	JUN	expression regulated by	<-	1.0
ABL1	MYC	PPrel: indirect effect	-	1.0
ABL1	NTRK2	PPrel: binding/association; interaction	-	1.0
ABL1	PDGFB	activate	->	1.0
ABL1	PLCG1	activate; activated by	<->	1.0
ABL1	PTPN6	predicted	-	0.9
ABL1	RAC3	PPrel: activation	->	1.0
ABL1	RIN1	PPrel: activated by	<-	1.0
ABL1	ROBO1	PPrel: activation, phosphorylation; complex; input	->	1.0
ABL1	SH3KBP1	predicted	-	0.9
ABL1	SHC3	PPrel: activation, phosphorylation	->	1.0
ABL1	SPAG9	complex; input	-	1.0
ACSL1	PPARG	GErel: expression by	<-	1.0
ACTBL2	ACTC1	predicted	-	0.92
ACTBL2	CDH1	complex; input	-	1.0
ACTBL2	CDH11	complex; input	-	1.0
ACTBL2	CDH19	complex; input	-	1.0
ACTBL2	CDH4	complex; input	-	1.0
ACTBL2	CELSR1	complex; input	-	1.0
ACTBL2	COL12A1	complex; input	-	1.0
ACTBL2	COL17A1	complex; input	-	1.0
ACTBL2	COL27A1	complex; input	-	1.0
ACTBL2	COL3A1	complex; input	-	1.0
ACTBL2	COL4A3	complex; input	-	1.0
ACTBL2	COL4A4	complex; input	-	1.0
ACTBL2	COL4A5	complex; input	-	1.0
ACTBL2	COL4A6	complex; input	-	1.0
ACTBL2	COL5A1	complex; input	-	1.0
ACTBL2	COL6A2	complex; input	-	1.0
ACTBL2	COL6A3	complex; input	-	1.0
ACTBL2	COL8A1	complex; input	-	1.0
ACTBL2	DMBT1	complex; input	-	1.0
ACTBL2	FLNB	complex; input	-	1.0
ACTBL2	FN1	complex; input	-	1.0
ACTBL2	HIP1	complex; input	-	1.0
ACTBL2	ITGA2	complex; input	-	1.0
ACTBL2	ITGA6	complex; input	-	1.0
ACTBL2	ITGB8	complex; input	-	1.0
ACTBL2	ITGBL1	complex; input	-	1.0
ACTBL2	JUP	complex	-	1.0
ACTBL2	LAMA1	complex; input	-	1.0
ACTBL2	LAMA3	complex; input	-	1.0
ACTBL2	LAMA5	complex; input	-	1.0
ACTBL2	LAMB2	complex; input	-	1.0
ACTBL2	LAMC2	complex; input	-	1.0
ACTBL2	MMP15	catalyzed by	<-	1.0
ACTBL2	MMP8	catalyzed by	<-	1.0
ACTBL2	PCDH1	complex; input	-	1.0
ACTBL2	PCDH7	complex; input	-	1.0
ACTBL2	PCDH9	complex; input	-	1.0
ACTBL2	PTK2B	catalyzed by; complex; input	<-	1.0
ACTBL2	RHOJ	catalyzed by	<-	1.0
ACTC1	CDH1	complex; input	-	1.0
ACTC1	CDH11	complex; input	-	1.0
ACTC1	CDH19	complex; input	-	1.0
